category,attribute,detail,trait_type,mentee_rating,mentor_rating,engineer_rating
Attitude,Approachable,Available and patient with non-technical peers/stakeholders†,SOFT,Practicing,Practicing,Practicing
Attitude,Approachable,Available and patient with technical peers/stakeholders†,SOFT,Practicing,Practicing,Practicing
Attitude,Coachable,Makes changes based on feedback,SOFT,Practicing,Practicing,Practicing
Attitude,Resilient,Handles roadblocks with care and sensitivity,SOFT,Emerging,Emerging,Emerging
Attitude,Resilient,Values the expertise of others†(Listen and modify behavior),SOFT,Practicing,Emerging,Practicing
Communication,Clear,Communicates in the correct manner and setting (Does it need to be said? Does it need to be said by me? Does it need to be said right now?),SOFT,Emerging,Emerging,Emerging
Communication,Confident,Express disagreement within a healthy conflict framework†,SOFT,Unpracticed,Unpracticed,Emerging
Communication,Confident,"Can be comfortable speaking in front of ""large groups""",SOFT,Unpracticed,Unpracticed,Emerging
Communication,Empathetic,Handles various personalities with care and sensitivity†,SOFT,Unpracticed,Unpracticed,Emerging
Communication,Empathetic,Can communicate trade-off decisions to both technical and non-technical stakeholders. Renegotiate Committment  (Not necessarily always speaking in the language of business),SOFT,Unpracticed,Unpracticed,Unpracticed
Communication,Empathetic,Can speak in the language of other disciplines†,SOFT,Unpracticed,Unpracticed,Unpracticed
Communication,Empathetic,Empathize with opposing viewpoints†,SOFT,Unpracticed,Unpracticed,Unpracticed
Communication,Empathetic,Demonstrates the ability to mine for conflict,SOFT,Unpracticed,Unpracticed,Unpracticed
Execution,Proactive,Pulls ideas out of others†,SOFT,Emerging,Unpracticed,Emerging
Execution,Proactive,Understands where the business is going and is bringing innovation to the conversation before the business is asking for it,SOFT,Unpracticed,Unpracticed,Unpracticed
Execution,Resourceful,Heart of a teacher†(Can†lead someone to a decision without telling them the decision)†,SOFT,Unpracticed,Unpracticed,Unpracticed
Execution,Resourceful,Can challenge principles at all levels within personal discipline†,SOFT,Unpracticed,Unpracticed,Unpracticed
Execution,Resourceful,"Elevation of problem, co-authoring of the solution for issues",SOFT,Emerging,Unpracticed,Emerging
