category,attribute,detail,trait_type,mentee_rating,mentor_rating,engineer_rating
Attitude,Approachable,Available and patient with non-technical peers/stakeholders�,SOFT,Unpracticed,Unpracticed,Practicing
Attitude,Approachable,Available and patient with technical peers/stakeholders�,SOFT,Practicing,Unpracticed,Practicing
Attitude,Coachable,Makes changes based on feedback,SOFT,Practicing,Unpracticed,Practicing
Attitude,Coachable,Open to feedback,SOFT,Practicing,Unpracticed,Practicing
Attitude,Resilient,Handles roadblocks with care and sensitivity,SOFT,Unpracticed,Unpracticed,Emerging
Attitude,Resilient,Valuing the expertise of others�(listen and modify behavior),SOFT,Practicing,Unpracticed,Practicing
Communication,Clear,Communicates in the correct manner and setting (Does it need to be said? Does it need to be said by me? Does it need to be said right now?),SOFT,Unpracticed,Unpracticed,Emerging
Communication,Confident,Express disagreement within a healthy conflict framework�,SOFT,Emerging,Unpracticed,Emerging
Communication,Confident,Can be comfortable speaking in front of the company�,SOFT,Unpracticed,Unpracticed,Unpracticed
Communication,Confident,Can be comfortable speaking in front of the Product Engineering,SOFT,Unpracticed,Unpracticed,Unpracticed
Communication,Empathetic,Handles various personalities with care and sensitivity�,SOFT,Emerging,Unpracticed,Emerging
Communication,Empathetic,Can communicate trade-off decisions to both technical and non-technical stakeholders. Renegotiate Committment  (Not necessarily always speaking in the language of business),SOFT,Unpracticed,Unpracticed,Unpracticed
Communication,Empathetic,Can speak in the language of other disciplines�,SOFT,Unpracticed,Unpracticed,Unpracticed
Communication,Empathetic,Empathize with opposing viewpoints�,SOFT,Unpracticed,Unpracticed,Unpracticed
Communication,Empathetic,Demonstrates the ability to mine for conflict,SOFT,Unpracticed,Unpracticed,Unpracticed
Execution,Proactive,Pulls ideas out of others�,SOFT,Unpracticed,Unpracticed,Emerging
Execution,Proactive,Understands where the business is going and is bringing innovation to the conversation before the business is asking for it.��,SOFT,Unpracticed,Unpracticed,Unpracticed
Execution,Resourceful,The heart of a teacher�(can�lead someone to a decision without telling them the decision)�,SOFT,Unpracticed,Unpracticed,Unpracticed
Execution,Resourceful,Can challenge principles at all levels within your discipline�,SOFT,Unpracticed,Unpracticed,Unpracticed
Execution,Resourceful,"Elevation of problem, co-authoring of the solution for issues",SOFT,Unpracticed,Unpracticed,Emerging
Execution,Strategic,Customer focused mindset�,SOFT,Unpracticed,Unpracticed,Emerging
Execution,Strategic,Considering technical impact during the Discovery Process�,SOFT,Unpracticed,Unpracticed,Emerging
Execution,Strategic,Considering Customer value during the Discovery Process�,SOFT,Unpracticed,Unpracticed,Emerging
Execution,Strategic,Considering business value during the Discovery Process�,SOFT,Unpracticed,Unpracticed,Unpracticed
Maturity,Emotional IQ,"Have strong opinions, loosly held",SOFT,Practicing,Unpracticed,Practicing
Maturity,Emotional IQ,Demonstrates emotional courage�,SOFT,Unpracticed,Unpracticed,Practicing
Maturity,Personal Brand,Actively develops their personal brand,SOFT,Unpracticed,Unpracticed,Emerging
Maturity,Personal Brand,Missional,SOFT,Unpracticed,Unpracticed,Practicing
Maturity,Poised,Demonstrate the ability to Disagree and Commit�,SOFT,Unpracticed,Unpracticed,Emerging
Maturity,Poised,Takes personal responsibility ,SOFT,Emerging,Unpracticed,Practicing
Partnering,Accessibility,Engages socially with my team�,SOFT,Emerging,Unpracticed,Emerging
Partnering,Accessibility,Connects with those seeking help within a reasonable timeframe,SOFT,Unpracticed,Unpracticed,Emerging
Partnering,Relationship,Actively Building Trust with Team�,SOFT,Emerging,Unpracticed,Practicing
Partnering,Relationship,Can market your idea across multiple squads,SOFT,Unpracticed,Unpracticed,Unpracticed
Partnering,Relationship,Can market your idea within your squad,SOFT,Unpracticed,Unpracticed,Unpracticed
Partnering,Relationship,Actively building trust with Business Leadership�,SOFT,Unpracticed,Unpracticed,Unpracticed
Partnering,Relationship,Actively Building Trust with Other Disciplines�,SOFT,Unpracticed,Unpracticed,Emerging
Partnering,Shared Urgency,Can work in concurrency�,SOFT,Unpracticed,Unpracticed,Unpracticed
Partnering,Shared Urgency,Wins and loses as a team,SOFT,Practicing,Unpracticed,Practicing
Engineering Ability,Core Practices,Baseline Skill In Coding: Can build/compile in a any language (Baseline code execution skills),HARD,Practicing,Unpracticed,Radiating
Engineering Ability,Core Engineering,Foundational (Working) Competence in a language,HARD,Practicing,Unpracticed,Practicing
Engineering Ability,Core Engineering,Confident in making changes in an existing codebase /feature or other's code,HARD,Emerging,Unpracticed,Practicing
Engineering Ability,Core Engineering,Confident to begin a green field codebase/feature. Knows how to start from New.,HARD,Emerging,Unpracticed,Practicing
Engineering Ability,Core Engineering,Foundational Competence more than one Language,HARD,Emerging,Unpracticed,Emerging
Engineering Ability,Core Engineering,"Deep understanding of Primary Language (Performance Concerns, Best Practices, Which to Choose and Why)",HARD,Unpracticed,Unpracticed,Emerging
Engineering Ability,Core Engineering,Defensive Coding,HARD,Unpracticed,Unpracticed,Unpracticed
Engineering Ability,Core Engineering,"Applies patterns learned through Mentorship, Feedback, or Bugs",HARD,Unpracticed,Unpracticed,Unpracticed
Engineering Ability,Design,Can understand and use common design patterns,HARD,Unpracticed,Unpracticed,Emerging
Engineering Ability,Design,Refactoring/De-Duping,HARD,Unpracticed,Unpracticed,Emerging
Engineering Ability,Design,"Create Usable technical documentation for you, your team, or someone with context to understand",HARD,Unpracticed,Unpracticed,Emerging
Engineering Ability,Design,Edge/Corner Cases Define the boundaries of your domain,HARD,Unpracticed,Unpracticed,Unpracticed
Engineering Ability,Design,"Active Management of Security, Privacy, and Scale concerns",HARD,Unpracticed,Unpracticed,Unpracticed
