result,opportunity,next_step,growth_assessment,goal,start_date,status,age,notes,trait_type,mentee_rating,mentor_rating,engineer_rating
,,,Available and patient with non-technical peers/stakeholders�,,2024-10-09,NEW,14,,SOFT,UNPRACTICED,UNPRACTICED,PRACTICING
,,,Available and patient with technical peers/stakeholders�,,2024-10-09,NEW,14,,SOFT,PRACTICING,UNPRACTICED,PRACTICING
,,,Makes changes based on feedback,,2024-10-09,NEW,14,,SOFT,PRACTICING,EMERGING,PRACTICING
,,,Open to feedback,,2024-10-09,NEW,14,,SOFT,PRACTICING,EMERGING,PRACTICING
,,,Handles roadblocks with care and sensitivity,,2024-10-09,NEW,14,,SOFT,UNPRACTICED,UNPRACTICED,EMERGING
,,,Valuing the expertise of others�(listen and modify behavior),,2024-10-09,NEW,14,,SOFT,PRACTICING,EMERGING,PRACTICING
,,,Communicates in the correct manner and setting (Does it need to be said? Does it need to be said by me? Does it need to be said right now?),,2024-10-09,NEW,14,,SOFT,UNPRACTICED,UNPRACTICED,EMERGING
,,,Express disagreement within a healthy conflict framework�,,2024-10-09,NEW,14,,SOFT,EMERGING,UNPRACTICED,EMERGING
,,,Handles various personalities with care and sensitivity�,,2024-10-09,NEW,14,,SOFT,EMERGING,UNPRACTICED,EMERGING
,,,Pulls ideas out of others�,,2024-10-09,NEW,14,,SOFT,UNPRACTICED,UNPRACTICED,EMERGING
,,,"Elevation of problem, co-authoring of the solution for issues",,2024-10-09,NEW,14,,SOFT,UNPRACTICED,UNPRACTICED,EMERGING
,,,Customer focused mindset�,,2024-10-09,NEW,14,,SOFT,UNPRACTICED,UNPRACTICED,EMERGING
,,,Considering technical impact during the Discovery Process�,,2024-10-09,NEW,14,,SOFT,UNPRACTICED,UNPRACTICED,EMERGING
,,,Considering Customer value during the Discovery Process�,,2024-10-09,NEW,14,,SOFT,UNPRACTICED,UNPRACTICED,EMERGING
,,,"Have strong opinions, loosly held",,2024-10-09,NEW,14,,SOFT,PRACTICING,EMERGING,PRACTICING
,,,Demonstrates emotional courage�,,2024-10-09,NEW,14,,SOFT,UNPRACTICED,UNPRACTICED,PRACTICING
,,,Actively develops their personal brand,,2024-10-09,NEW,14,,SOFT,UNPRACTICED,UNPRACTICED,EMERGING
,,,Missional,,2024-10-09,NEW,14,,SOFT,UNPRACTICED,UNPRACTICED,PRACTICING
,,,Demonstrate the ability to Disagree and Commit�,,2024-10-09,NEW,14,,SOFT,UNPRACTICED,UNPRACTICED,EMERGING
,,,Takes personal responsibility ,,2024-10-09,NEW,14,,SOFT,EMERGING,EMERGING,PRACTICING
,,,Engages socially with my team�,,2024-10-09,NEW,14,,SOFT,EMERGING,UNPRACTICED,EMERGING
,,,Connects with those seeking help within a reasonable timeframe,,2024-10-09,NEW,14,,SOFT,UNPRACTICED,UNPRACTICED,EMERGING
,,,Actively Building Trust with Team�,,2024-10-09,NEW,14,,SOFT,EMERGING,EMERGING,PRACTICING
,,,Actively Building Trust with Other Disciplines�,,2024-10-09,NEW,14,,SOFT,UNPRACTICED,UNPRACTICED,EMERGING
,,,Wins and loses as a team,,2024-10-09,NEW,14,,SOFT,PRACTICING,EMERGING,PRACTICING
,,,Baseline Skill In Coding: Can build/compile in a any language (Baseline code execution skills),,2024-10-09,NEW,14,,HARD,PRACTICING,PRACTICING,RADIATING
,,,Foundational (Working) Competence in a language,,2024-10-09,PLANNED,14,,HARD,PRACTICING,PRACTICING,PRACTICING
,,,Confident in making changes in an existing codebase /feature or other's code,,2024-10-09,NEW,14,,HARD,EMERGING,EMERGING,PRACTICING
,,,Confident to begin a green field codebase/feature. Knows how to start from NEW.,,2024-10-09,NEW,14,,HARD,EMERGING,UNPRACTICED,PRACTICING
,,,Foundational Competence more than one Language,,2024-10-09,NEW,14,,HARD,EMERGING,UNPRACTICED,EMERGING
,,,"Deep understanding of Primary Language (Performance Concerns, Best Practices, Which to Choose and Why)",,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,Can understand and use common design patterns,,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,Refactoring/De-Duping,,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,"Create Usable technical documentation for you, your team, or someone with context to understand",,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,"Consider usability of the product, and collaborates with appropriate disciplines",,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,Fluency in a test framework and test pyramid,,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,"Happy Path Testing, Exception Handling, Downstream Impact (Not necessarily unit testing)",,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,PRACTICING
,,,"Understands the Audience of their Code is other engineers not the computer, and how you code reflects that understanding",,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,"Consider unit tests for all code, implement and maintains appropriately",,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,Consider integration points and avoids fragility,,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,Consider SEO impact,,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,Mentoring other Engineers in areas you are Strong in,,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,Finding Technology Industry trends and bring the knowledge back into the team,,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,Creates actionable alerts easily consumed by others,,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,Owns alerts and response (Can diagnose an application issue without reaching out to Systems Engineering),,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,Log appropriate code diagnostic information,,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,Is able to relate work being executed on to a business problem ,,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,PRACTICING
,,,Removes own blockers due to lack of understanding of the work or language,,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
,,,Pull cards and work them with self-sufficiency,,2024-10-09,NEW,14,,HARD,EMERGING,EMERGING,PRACTICING
,,,Is not consistently blocked,,2024-10-09,NEW,14,,HARD,EMERGING,EMERGING,PRACTICING
,,,Reactive Tech Debt Management,,2024-10-09,NEW,14,,HARD,UNPRACTICED,UNPRACTICED,EMERGING
